"table","column","is_pk","is_fk","i1","i2","i3","i4","i5","i6","i7","i8","i9","i10","i11","i12","type","default","description"
"parceldocs","apn_8",,,,1,,,,,,,,,,,"TEXT",,"Assessor Parcel Number, 8 digits"
"parceldocs","parcelid",,,,,1,,,,,,,,,,"INTEGER",,"SANGIS Parcel ID"
"parceldocs","own_name1",,,,,,,,,,,,,,,"TEXT",,"First owner name"
"parceldocs","own_name2",,,,,,,,,,,,,,,"TEXT",,"Second owner name"
"parceldocs","own_name3",,,,,,,,,,,,,,,"TEXT",,"Third owner name"
"parceldocs","fractint",,,,,,,,,,,,,,,"FLOAT",,"Fractional interest"
"parceldocs","own_addr1",,,,,,,,,,,,,,,"TEXT",,"Owner address, line 1"
"parceldocs","own_addr2",,,,,,,,,,,,,,,"TEXT",,"Owner address, line 2"
"parceldocs","own_addr3",,,,,,,,,,,,,,,"TEXT",,"Owner address, line 3"
"parceldocs","own_addr4",,,,,,,,,,,,,,,"TEXT",,"Owner address, line 4"
"parceldocs","own_zip",,,,,,,,,,,,,,,"TEXT",,"Owner zip code"
"parceldocs","situs_juri",,,,,,,,,,,,,,,"TEXT",,"Situs jurisdiction"
"parceldocs","situs_stre",,,,,,,,,,,,,,,"TEXT",,"Situs street name"
"parceldocs","situs_suff",,,,,,,,,,,,,,,"TEXT",,"Situs street suffix"
"parceldocs","situs_post",,,,,,,,,,,,,,,"TEXT",,"Situs direction, after street"
"parceldocs","situs_pre_",,,,,,,,,,,,,,,"TEXT",,"Situs direction, before street"
"parceldocs","situs_addr",,,,,,,,,,,,,,,"INTEGER",,"Situs address number"
"parceldocs","situs_frac",,,,,,,,,,,,,,,"TEXT",,"Situs number fraction"
"parceldocs","situs_buil",,,,,,,,,,,,,,,"TEXT",,"Situs building number "
"parceldocs","situs_suit",,,,,,,,,,,,,,,"TEXT",,"Situs suite number"
"parceldocs","situs_comm",,,,,,,,,,,,,,,"TEXT",,"Situs community"
"parceldocs","situs_zip",,,,,,,,,,,,,,,"TEXT",,"Situs zip"
"parceldocs","legldesc",,,,,,,,,,,,,,,"TEXT",,"Legal description of parcel. "
"parceldocs","asr_land",,,,,,1,,,,,,,,,"INTEGER",,"Assessed land value"
"parceldocs","asr_impr",,,,,,,1,,,,,,,,"INTEGER",,"Assessed improvements value"
"parceldocs","asr_total",,,,,,,,1,,,,,,,"INTEGER",,"Assessed total value"
"parceldocs","asr_zone",,,,,,,,,1,,,,,,"INTEGER",,"Assessment zone code"
"parceldocs","asr_landus",,,,,,,,,,,1,,,,"INTEGER",,"Assessment land use code"
"parceldocs","doctype",,,,,,,,,,,,1,,,"TEXT",,"Document type that recorded the parcel"
"parceldocs","docnmbr",,,,,,,,,,,,,1,,"TEXT",,"Document number"
"parceldocs","docdate",,,,,,,,,,,,,,1,"TEXT",,"Doc date"
"parceldocs","acreage",,,,,,,,,,,,,,,"FLOAT",,"Parcel acerage over .25 AC"
"parceldocs","taxstat",,,,,,,,,,,,,,,"TEXT",,"Tax status code "
"parceldocs","tranum",,,,,,,,,,,,,,,"TEXT",,"Taxrate area number"
"parceldocs","submap",,,,,,,,,,,,,,,"TEXT",,"Subdivision name or parcel map number"
"parceldocs","subname",,,,,,,,,,,,,,,"TEXT",,"Subdivision name or parcel map number"
"parceldocs","overlay_ju",,,,,,,,,,,,,,,"TEXT",,"Overlay jurisdiction"
